playerid,name,username,balance,gamesplayed,totalwagered,totalwon,totallost,cwins,closs,biggestwin,biggestloss,fraud,risk,rank,creation,passwordhash,role,age
P1,Alice Johnson,alice,2554.00,43,1100.00,1554.00,650.00,8,4,625.00,100.00,0,0.15,1,1737561600,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,player,25
P2,Bob Smith,bob,2051.00,44,1150.00,1201.00,950.00,3,7,625.00,150.00,0,0.35,2,1737993600,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,player,32
P3,Charlie Davis,charlie,6209.00,45,2400.00,6209.00,1500.00,12,2,1650.00,200.00,0,0.08,3,1738368000,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,player,28
P4,Diana Prince,diana,912.00,46,850.00,1062.00,900.00,2,9,120.00,100.00,0,0.82,4,1739232000,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,player,29
P5,Eve Martinez,eve,5089.00,47,2200.00,5089.00,1200.00,10,3,1200.00,80.00,0,0.12,5,1739664000,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,player,35
P6,Frank Wilson,frank,1744.00,48,1100.00,1844.00,1200.00,4,5,220.00,120.00,0,0.28,6,1740787200,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,player,41
P7,Grace Lee,grace,14155.00,49,3500.00,14155.00,1500.00,20,1,3250.00,150.00,1,0.95,7,1741132800,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,player,26
P8,Henry Clark,henry,1618.00,50,980.00,1698.00,900.00,5,6,200.00,180.00,0,0.45,8,1741737600,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,player,38
P9,Iris Taylor,iris,3800.00,40,1500.00,3800.00,800.00,9,4,900.00,140.00,0,0.22,9,1742428800,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,player,31
P10,Jack Brown,jack,1055.00,42,1400.00,1455.00,1300.00,1,12,400.00,250.00,0,0.91,10,1743465600,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,player,27
